term_str,n,p,i,n_chars,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
annihilated,1,1.041710071252969e-05,16.5506866718375,11,VBN,v,1,{'v'},1,{'VBN'},False,annihil,annihil,annihil,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
anxious,1,1.041710071252969e-05,16.5506866718375,7,JJ,j,1,{'j'},1,{'JJ'},False,anxiou,anxious,anxy,1,3.807354922057604,0.2719539230041146,0,1,0,1,0,1,0,0,0,0,-1
apologize,8,8.333680570023751e-05,13.550686671837498,9,VB,v,2,"{'n', 'v'}",3,"{'VB', 'VBP', 'NNP'}",False,apolog,apolog,apolog,5,1.4854268271702418,0.5305095811322292,0,0,0,0,0,0,1,1,0,1,1
approve,2,2.083420142505938e-05,15.550686671837498,7,VB,v,1,{'v'},2,"{'VB', 'VBP'}",False,approv,approv,approv,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
archaeology,1,1.041710071252969e-05,16.5506866718375,11,NNP,n,1,{'n'},1,{'NNP'},False,archaeolog,archaeolog,archaeolog,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,1,0,0,0,1
argument,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,argument,argument,argu,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
armor,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,armor,armor,arm,2,2.807354922057604,0.4010507031510862,0,0,0,1,0,0,1,0,0,1,1
arsenic,1,1.041710071252969e-05,16.5506866718375,7,JJ,j,1,{'j'},1,{'JJ'},False,arsen,arsenic,ars,1,3.807354922057604,0.2719539230041146,0,0,1,1,0,1,0,1,0,0,-1
art,8,8.333680570023751e-05,13.550686671837498,3,NN,n,3,"{'j', 'v', 'n'}",3,"{'JJ', 'VBP', 'NN'}",False,art,art,art,4,1.807354922057604,0.5163871205878868,0,1,0,0,1,0,1,1,1,0,1
ashamed,5,5.208550356264844e-05,14.228758576950137,7,JJ,j,2,"{'j', 'v'}",2,"{'JJ', 'VBN'}",False,asham,asham,asham,3,2.222392421336448,0.4762269474292389,0,0,1,0,0,1,0,1,0,0,-1
ashes,3,3.1251302137589066e-05,14.965724171116342,5,NNS,n,2,"{'v', 'n'}",2,"{'VB', 'NNS'}",False,ash,ash,ash,3,2.222392421336448,0.4762269474292389,0,0,0,0,0,1,0,1,0,0,-1
assembly,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,assembl,assembl,assembl,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
assured,2,2.083420142505938e-05,15.550686671837498,7,VBN,v,1,{'v'},1,{'VBN'},False,assur,assur,ass,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,0,1,0,0,1,1
attack,22,0.0002291762156756,12.091255053200202,6,NN,n,2,"{'v', 'n'}",3,"{'VB', 'VBP', 'NN'}",False,attack,attack,attack,6,1.222392421336448,0.5238824662870492,1,0,0,1,0,1,0,0,0,0,-1
attacking,8,8.333680570023751e-05,13.550686671837498,9,VBG,v,1,{'v'},1,{'VBG'},False,attack,attack,attack,4,1.807354922057604,0.5163871205878868,1,0,1,1,0,1,0,1,1,0,-1
aunt,3,3.1251302137589066e-05,14.965724171116342,4,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,aunt,aunt,aunt,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,0,1,0,0,1,1
awful,2,2.083420142505938e-05,15.550686671837498,5,JJ,j,1,{'j'},1,{'JJ'},False,aw,aw,aw,2,2.807354922057604,0.4010507031510862,1,0,1,1,0,1,0,1,0,0,-1
baby,27,0.0002812617192383,11.79579916967403,4,NN,n,1,{'n'},1,{'NN'},False,babi,babi,baby,11,0.3479233034203068,0.2733683098302411,0,0,0,0,1,0,1,0,0,0,1
backwater,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,backwat,backwat,backw,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,0,1,0,0,-1
bad,52,0.0005416892370515,10.850246953696406,3,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NNP'}",False,bad,bad,bad,13,0.1069152039165118,0.099278403636761,1,0,1,1,0,1,0,1,0,0,-1
badger,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,badger,badger,badg,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
badly,2,2.083420142505938e-05,15.550686671837498,5,RB,r,1,{'r'},1,{'RB'},False,badli,bad,bad,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,1,0,1,0,0,-1
bait,2,2.083420142505938e-05,15.550686671837498,4,NN,n,1,{'n'},1,{'NN'},False,bait,bait,bait,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,0,0,1,-1
banished,1,1.041710071252969e-05,16.5506866718375,8,VBD,v,1,{'v'},1,{'VBD'},False,banish,banish,ban,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
bankrupt,2,2.083420142505938e-05,15.550686671837498,8,NNS,n,2,"{'n', 'v'}",2,"{'VB', 'NNS'}",False,bankrupt,bankrupt,bankrupt,2,2.807354922057604,0.4010507031510862,0,0,0,1,0,1,0,1,0,0,-1
bankruptcy,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,bankruptci,bankruptci,bankruptcy,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,0,0,-1
banquet,7,7.291970498770782e-05,13.743331749779896,7,NN,n,1,{'n'},1,{'NN'},False,banquet,banquet,banquet,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,0,1
bargain,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,bargain,bargain,bargain,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,0,1,0,0,1,1
bark,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,bark,bark,bark,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
barrier,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,barrier,barrier,barry,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
bastard,5,5.208550356264844e-05,14.228758576950137,7,VBP,v,2,"{'n', 'v'}",2,"{'VBP', 'NN'}",False,bastard,bastard,bastard,2,2.807354922057604,0.4010507031510862,0,0,1,0,0,1,0,1,0,0,-1
batter,2,2.083420142505938e-05,15.550686671837498,6,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,batter,batter,bat,2,2.807354922057604,0.4010507031510862,1,0,0,1,0,1,0,0,0,0,-1
battered,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,batter,batter,bat,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,1,0,0,-1
battle,17,0.000177090712113,12.46322383058716,6,NN,n,1,{'n'},1,{'NN'},False,battl,battl,battl,6,1.222392421336448,0.5238824662870492,1,0,0,0,0,1,0,0,0,0,-1
bear,11,0.0001145881078378,13.091255053200202,4,VB,v,4,"{'x', 'j', 'n', 'v'}",5,"{'VBP', 'IN', 'VB', 'JJ', 'NNP'}",False,bear,bear,bear,7,1.0,0.5,1,0,0,1,0,0,0,0,0,0,0
beast,4,4.166840285011876e-05,14.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,beast,beast,beast,2,2.807354922057604,0.4010507031510862,1,0,0,1,0,1,0,0,0,0,-1
beating,3,3.1251302137589066e-05,14.965724171116342,7,NN,n,2,"{'v', 'n'}",2,"{'NN', 'VBG'}",False,beat,beat,beat,3,2.222392421336448,0.4762269474292389,1,0,0,1,0,1,0,1,0,0,-1
beautiful,80,0.0008333680570023,10.228758576950137,9,JJ,j,4,"{'x', 'j', 'v', 'n'}",6,"{'IN', 'NNS', 'JJ', 'VB', 'NNP', 'NN'}",False,beauti,beauti,beauty,11,0.3479233034203068,0.2733683098302411,0,0,0,0,1,0,1,0,0,0,1
beauty,6,6.250260427517813e-05,13.965724171116342,6,NN,n,1,{'n'},1,{'NN'},False,beauti,beauti,beauty,3,2.222392421336448,0.4762269474292389,0,0,0,0,1,0,1,0,0,0,1
beg,11,0.0001145881078378,13.091255053200202,3,VBP,v,2,"{'n', 'v'}",2,"{'VBP', 'NNP'}",False,beg,beg,beg,4,1.807354922057604,0.5163871205878868,0,0,0,0,0,1,0,1,0,0,-1
believing,1,1.041710071252969e-05,16.5506866718375,9,VBG,v,1,{'v'},1,{'VBG'},False,believ,believ,believ,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
belt,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,belt,belt,belt,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,0,0,0,-1
betrayal,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,betray,betray,betray,1,3.807354922057604,0.2719539230041146,1,0,1,0,0,1,0,1,0,0,-1
birth,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,birth,birth,bir,1,3.807354922057604,0.2719539230041146,0,1,0,1,1,0,1,0,0,1,1
birthday,7,7.291970498770782e-05,13.743331749779896,8,NN,n,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,birthday,birthday,birthday,4,1.807354922057604,0.5163871205878868,0,1,0,0,1,0,1,0,1,0,1
bitch,2,2.083420142505938e-05,15.550686671837498,5,NN,n,2,"{'n', 'v'}",2,"{'VBP', 'NN'}",False,bitch,bitch,bitch,2,2.807354922057604,0.4010507031510862,1,0,1,1,0,1,0,1,0,0,-1
bizarre,3,3.1251302137589066e-05,14.965724171116342,7,JJ,j,1,{'j'},1,{'JJ'},False,bizarr,bizarr,bizar,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,0,0,1,0,-1
black,24,0.0002500104171007,11.965724171116342,5,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NNP'}",False,black,black,black,7,1.0,0.5,0,0,0,0,0,1,0,1,0,0,-1
blame,4,4.166840285011876e-05,14.550686671837498,5,VB,v,1,{'v'},2,"{'VB', 'VBP'}",False,blame,blame,blam,3,2.222392421336448,0.4762269474292389,1,0,1,0,0,1,0,0,0,0,-1
blast,1,1.041710071252969e-05,16.5506866718375,5,VB,v,1,{'v'},1,{'VB'},False,blast,blast,blast,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,0,1,0,-1
blaze,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,blaze,blaze,blaz,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
bleeding,4,4.166840285011876e-05,14.550686671837498,8,VBG,v,2,"{'n', 'v'}",2,"{'VBG', 'NN'}",False,bleed,bleed,blee,2,2.807354922057604,0.4010507031510862,0,0,1,1,0,1,0,1,0,0,-1
blessed,3,3.1251302137589066e-05,14.965724171116342,7,VBN,v,1,{'v'},1,{'VBN'},False,bless,bless,bless,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,0,1
blessing,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,bless,bless,bless,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,1,1
bloated,1,1.041710071252969e-05,16.5506866718375,7,VBN,v,1,{'v'},1,{'VBN'},False,bloat,bloat,blo,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
blob,1,1.041710071252969e-05,16.5506866718375,4,JJ,j,1,{'j'},1,{'JJ'},False,blob,blob,blob,1,3.807354922057604,0.2719539230041146,0,0,1,1,0,1,0,0,0,0,-1
bloodshed,1,1.041710071252969e-05,16.5506866718375,9,NNS,n,1,{'n'},1,{'NNS'},False,bloodsh,bloodsh,bloodsh,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,1,0,-1
bloodthirsty,1,1.041710071252969e-05,16.5506866718375,12,JJ,j,1,{'j'},1,{'JJ'},False,bloodthirsti,bloodthirsti,bloodthirsty,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,0,0,0,-1
bloom,3,3.1251302137589066e-05,14.965724171116342,5,VBP,v,2,"{'n', 'v'}",2,"{'VBP', 'NN'}",False,bloom,bloom,bloom,2,2.807354922057604,0.4010507031510862,0,1,0,0,1,0,1,0,0,1,1
bodyguard,2,2.083420142505938e-05,15.550686671837498,9,NN,n,1,{'n'},1,{'NN'},False,bodyguard,bodyguard,bodyguard,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
boil,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,boil,boil,boil,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
bomb,7,7.291970498770782e-05,13.743331749779896,4,NN,n,2,"{'v', 'n'}",2,"{'VB', 'NN'}",False,bomb,bomb,bomb,5,1.4854268271702418,0.5305095811322292,1,0,0,1,0,1,0,1,1,0,-1
bombed,2,2.083420142505938e-05,15.550686671837498,6,NN,n,2,"{'n', 'v'}",2,"{'VBN', 'NN'}",False,bomb,bomb,bomb,2,2.807354922057604,0.4010507031510862,0,0,1,0,0,1,0,0,0,0,-1
bomber,6,6.250260427517813e-05,13.965724171116342,6,NN,n,1,{'n'},1,{'NN'},False,bomber,bomber,bomb,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,0,0,1,0,0,0
bothering,2,2.083420142505938e-05,15.550686671837498,9,VBG,v,1,{'v'},1,{'VBG'},False,bother,bother,both,2,2.807354922057604,0.4010507031510862,1,0,0,0,0,1,0,1,0,0,-1
bottom,10,0.0001041710071252,13.228758576950137,6,NN,n,2,"{'j', 'n'}",3,"{'JJ', 'NN', 'NNP'}",False,bottom,bottom,bottom,6,1.222392421336448,0.5238824662870492,0,0,0,0,0,1,0,1,0,0,-1
bountiful,1,1.041710071252969e-05,16.5506866718375,9,JJ,j,1,{'j'},1,{'JJ'},False,bounti,bounti,bounty,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,0,1
bounty,5,5.208550356264844e-05,14.228758576950137,6,NN,n,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,bounti,bounti,bounty,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,1,1
bouquet,3,3.1251302137589066e-05,14.965724171116342,7,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,bouquet,bouquet,bouquet,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
bout,1,1.041710071252969e-05,16.5506866718375,4,IN,x,1,{'x'},1,{'IN'},False,bout,bout,bout,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
boy,37,0.0003854327263635,11.341233306208547,3,NN,n,2,"{'x', 'n'}",2,"{'NN', 'UH'}",False,boy,boy,boy,9,0.6374299206152918,0.4097763775384019,0,0,1,0,0,1,0,0,0,0,-1
bride,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,bride,bride,brid,2,2.807354922057604,0.4010507031510862,0,1,0,0,1,0,1,0,0,1,1
broke,8,8.333680570023751e-05,13.550686671837498,5,VBD,v,1,{'v'},1,{'VBD'},False,broke,broke,brok,7,1.0,0.5,0,0,0,1,0,1,0,1,0,0,-1
broken,11,0.0001145881078378,13.091255053200202,6,VBN,v,3,"{'j', 'n', 'v'}",3,"{'JJ', 'VBN', 'NNP'}",False,broken,broken,brok,6,1.222392421336448,0.5238824662870492,1,0,0,1,0,1,0,1,0,0,-1
brother,13,0.0001354223092628,12.850246953696406,7,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,brother,brother,broth,5,1.4854268271702418,0.5305095811322292,0,0,0,0,0,0,1,0,0,1,1
bug,3,3.1251302137589066e-05,14.965724171116342,3,NN,n,1,{'n'},1,{'NN'},False,bug,bug,bug,3,2.222392421336448,0.4762269474292389,0,0,1,1,0,1,0,0,0,0,-1
bum,1,1.041710071252969e-05,16.5506866718375,3,NN,n,1,{'n'},1,{'NN'},False,bum,bum,bum,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,1,0,0,-1
buried,1,1.041710071252969e-05,16.5506866718375,6,VBN,v,1,{'v'},1,{'VBN'},False,buri,buri,bury,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,1,0,0,-1
burnt,1,1.041710071252969e-05,16.5506866718375,5,RB,r,1,{'r'},1,{'RB'},False,burnt,burnt,burnt,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
cage,2,2.083420142505938e-05,15.550686671837498,4,NN,n,1,{'n'},1,{'NN'},False,cage,cage,cag,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,1,0,1,0,0,-1
calculator,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,calcul,calcul,calc,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
cancel,3,3.1251302137589066e-05,14.965724171116342,6,VB,v,2,"{'n', 'v'}",2,"{'VB', 'NN'}",False,cancel,cancel,cancel,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,1,0,1,0,0,-1
cane,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,cane,cane,can,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,0,0,0,0,0,0
cannon,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,cannon,cannon,cannon,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,0,0,0,-1
cap,3,3.1251302137589066e-05,14.965724171116342,3,NN,n,1,{'n'},1,{'NN'},False,cap,cap,cap,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,0,0,0,1,0
case,19,0.000197924913538,12.302759158393911,4,NN,n,1,{'n'},1,{'NN'},False,case,case,cas,7,1.0,0.5,0,0,0,1,0,1,0,1,0,0,-1
cash,2,2.083420142505938e-05,15.550686671837498,4,NN,n,1,{'n'},1,{'NN'},False,cash,cash,cash,2,2.807354922057604,0.4010507031510862,1,1,0,1,1,0,1,0,0,1,1
caution,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,caution,caution,caut,1,3.807354922057604,0.2719539230041146,1,1,0,1,0,1,0,0,0,0,-1
cautious,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,cautiou,cautious,cauty,1,3.807354922057604,0.2719539230041146,0,1,0,1,0,0,1,0,0,1,1
celebrating,1,1.041710071252969e-05,16.5506866718375,11,VBG,v,1,{'v'},1,{'VBG'},False,celebr,celebr,celebr,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,0,1
celebration,5,5.208550356264844e-05,14.228758576950137,11,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,celebr,celebr,celebr,2,2.807354922057604,0.4010507031510862,0,1,0,0,1,0,1,0,1,1,1
celebrity,2,2.083420142505938e-05,15.550686671837498,9,NN,n,1,{'n'},1,{'NN'},False,celebr,celebr,celebr,2,2.807354922057604,0.4010507031510862,1,1,1,0,1,1,1,0,1,1,0
celestial,1,1.041710071252969e-05,16.5506866718375,9,JJ,j,1,{'j'},1,{'JJ'},False,celesti,celesti,celest,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,0,1
cement,1,1.041710071252969e-05,16.5506866718375,6,JJ,j,1,{'j'},1,{'JJ'},False,cement,cement,cem,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,0,0,0,1,0
center,13,0.0001354223092628,12.850246953696406,6,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,center,center,cent,4,1.807354922057604,0.5163871205878868,0,0,0,0,0,0,1,0,0,1,1
