term_str,n,p,i,n_chars,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,dfidf
13yearold,1,1.041710071252969e-05,16.5506866718375,9,JJ,j,1,{'j'},1,{'JJ'},False,13yearold,13yearold,13yearold,1,3.807354922057604,0.2719539230041146
14,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,14,14,14,1,3.807354922057604,0.2719539230041146
145,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,145,145,145,1,3.807354922057604,0.2719539230041146
15,5,5.208550356264844e-05,14.228758576950137,2,CD,x,1,{'x'},1,{'CD'},False,15,15,15,2,2.807354922057604,0.40105070315108626
150,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,150,150,150,1,3.807354922057604,0.2719539230041146
15th,3,3.1251302137589066e-05,14.965724171116342,4,JJ,j,2,"{'j', 'x'}",2,"{'JJ', 'CD'}",False,15th,15th,15th,1,3.807354922057604,0.2719539230041146
16,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,16,16,16,1,3.807354922057604,0.2719539230041146
17,2,2.083420142505938e-05,15.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,17,17,17,1,3.807354922057604,0.2719539230041146
1910,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1910,1910,1910,1,3.807354922057604,0.2719539230041146
1927,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1927,1927,1927,1,3.807354922057604,0.2719539230041146
1932,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1932,1932,1932,1,3.807354922057604,0.2719539230041146
1945,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1945,1945,1945,1,3.807354922057604,0.2719539230041146
1966,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1966,1966,1966,1,3.807354922057604,0.2719539230041146
1967,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1967,1967,1967,1,3.807354922057604,0.2719539230041146
1993,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,1993,1993,1993,1,3.807354922057604,0.2719539230041146
2,29,0.0003020959206633,11.692705676709927,1,CD,x,1,{'x'},1,{'CD'},False,2,2,2,4,1.8073549220576042,0.5163871205878868
20,3,3.1251302137589066e-05,14.965724171116342,2,CD,x,1,{'x'},1,{'CD'},False,20,20,20,2,2.807354922057604,0.40105070315108626
200,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,200,200,200,1,3.807354922057604,0.2719539230041146
21,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,21,21,21,1,3.807354922057604,0.2719539230041146
220,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,220,220,220,1,3.807354922057604,0.2719539230041146
230,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,230,230,230,1,3.807354922057604,0.2719539230041146
240,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,240,240,240,1,3.807354922057604,0.2719539230041146
250,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,250,250,250,1,3.807354922057604,0.2719539230041146
27,2,2.083420142505938e-05,15.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,27,27,27,2,2.807354922057604,0.40105070315108626
270,2,2.083420142505938e-05,15.550686671837498,3,CD,x,1,{'x'},1,{'CD'},False,270,270,270,1,3.807354922057604,0.2719539230041146
3,14,0.0001458394099754,12.743331749779896,1,CD,x,1,{'x'},1,{'CD'},False,3,3,3,6,1.222392421336448,0.5238824662870492
300,2,2.083420142505938e-05,15.550686671837498,3,CD,x,1,{'x'},1,{'CD'},False,300,300,300,1,3.807354922057604,0.2719539230041146
3000,2,2.083420142505938e-05,15.550686671837498,4,CD,x,1,{'x'},1,{'CD'},False,3000,3000,3000,2,2.807354922057604,0.40105070315108626
300000,1,1.041710071252969e-05,16.5506866718375,6,CD,x,1,{'x'},1,{'CD'},False,300000,300000,300000,1,3.807354922057604,0.2719539230041146
31,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,31,31,31,1,3.807354922057604,0.2719539230041146
311382,1,1.041710071252969e-05,16.5506866718375,6,CD,x,1,{'x'},1,{'CD'},False,311382,311382,311382,1,3.807354922057604,0.2719539230041146
32,2,2.083420142505938e-05,15.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,32,32,32,1,3.807354922057604,0.2719539230041146
33,2,2.083420142505938e-05,15.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,33,33,33,1,3.807354922057604,0.2719539230041146
33rd,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,33rd,33rd,33rd,1,3.807354922057604,0.2719539230041146
4,8,8.333680570023751e-05,13.550686671837498,1,CD,x,1,{'x'},1,{'CD'},False,4,4,4,4,1.8073549220576042,0.5163871205878868
40,4,4.166840285011876e-05,14.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,40,40,40,3,2.222392421336448,0.4762269474292389
430,2,2.083420142505938e-05,15.550686671837498,3,CD,x,1,{'x'},1,{'CD'},False,430,430,430,1,3.807354922057604,0.2719539230041146
5,10,0.0001041710071252,13.228758576950137,1,CD,x,1,{'x'},1,{'CD'},False,5,5,5,4,1.8073549220576042,0.5163871205878868
50,2,2.083420142505938e-05,15.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,50,50,50,2,2.807354922057604,0.40105070315108626
500,3,3.1251302137589066e-05,14.965724171116342,3,CD,x,1,{'x'},1,{'CD'},False,500,500,500,3,2.222392421336448,0.4762269474292389
5000,2,2.083420142505938e-05,15.550686671837498,4,CD,x,1,{'x'},1,{'CD'},False,5000,5000,5000,1,3.807354922057604,0.2719539230041146
50km,1,1.041710071252969e-05,16.5506866718375,4,CD,x,1,{'x'},1,{'CD'},False,50km,50km,50km,1,3.807354922057604,0.2719539230041146
55,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,55,55,55,1,3.807354922057604,0.2719539230041146
5th,3,3.1251302137589066e-05,14.965724171116342,3,CD,x,2,"{'j', 'x'}",2,"{'JJ', 'CD'}",False,5th,5th,5th,1,3.807354922057604,0.2719539230041146
6,3,3.1251302137589066e-05,14.965724171116342,1,CD,x,1,{'x'},1,{'CD'},False,6,6,6,2,2.807354922057604,0.40105070315108626
60,3,3.1251302137589066e-05,14.965724171116342,2,CD,x,1,{'x'},1,{'CD'},False,60,60,60,3,2.222392421336448,0.4762269474292389
65,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,65,65,65,1,3.807354922057604,0.2719539230041146
7,2,2.083420142505938e-05,15.550686671837498,1,CD,x,1,{'x'},1,{'CD'},False,7,7,7,1,3.807354922057604,0.2719539230041146
700,2,2.083420142505938e-05,15.550686671837498,3,CD,x,1,{'x'},1,{'CD'},False,700,700,700,1,3.807354922057604,0.2719539230041146
700am,1,1.041710071252969e-05,16.5506866718375,5,CD,x,1,{'x'},1,{'CD'},False,700am,700am,700am,1,3.807354922057604,0.2719539230041146
8,4,4.166840285011876e-05,14.550686671837498,1,CD,x,1,{'x'},1,{'CD'},False,8,8,8,2,2.807354922057604,0.40105070315108626
9,1,1.041710071252969e-05,16.5506866718375,1,CD,x,1,{'x'},1,{'CD'},False,9,9,9,1,3.807354922057604,0.2719539230041146
90s,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,90,90s,90s,1,3.807354922057604,0.2719539230041146
98,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,98,98,98,1,3.807354922057604,0.2719539230041146
999,2,2.083420142505938e-05,15.550686671837498,3,CD,x,1,{'x'},1,{'CD'},False,999,999,999,1,3.807354922057604,0.2719539230041146
999th,1,1.041710071252969e-05,16.5506866718375,5,CD,x,1,{'x'},1,{'CD'},False,999th,999th,999th,1,3.807354922057604,0.2719539230041146
a,1967,0.0204904371015458,5.608905429558969,1,DT,x,3,"{'r', 'n', 'x'}",3,"{'RB', 'NNP', 'DT'}",True,a,a,a,14,0.0,0.0
aa,5,5.208550356264844e-05,14.228758576950137,2,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,aa,aa,aa,1,3.807354922057604,0.2719539230041146
aaa,2,2.083420142505938e-05,15.550686671837498,3,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NNP'}",False,aaa,aaa,aa,2,2.807354922057604,0.40105070315108626
aah,2,2.083420142505938e-05,15.550686671837498,3,NNP,n,1,{'n'},2,"{'NNP', 'NNS'}",False,aah,aah,aah,2,2.807354922057604,0.40105070315108626
abandon,3,3.1251302137589066e-05,14.965724171116342,7,VB,v,2,"{'n', 'v'}",2,"{'VB', 'NNS'}",False,abandon,abandon,abandon,3,2.222392421336448,0.4762269474292389
abandoned,4,4.166840285011876e-05,14.550686671837498,9,VBN,v,2,"{'j', 'v'}",3,"{'JJ', 'VBN', 'VBD'}",False,abandon,abandon,abandon,2,2.807354922057604,0.40105070315108626
abandoning,2,2.083420142505938e-05,15.550686671837498,10,VBG,v,1,{'v'},1,{'VBG'},False,abandon,abandon,abandon,2,2.807354922057604,0.40105070315108626
abe,6,6.250260427517813e-05,13.965724171116342,3,NNP,n,1,{'n'},1,{'NNP'},False,abe,abe,ab,2,2.807354922057604,0.40105070315108626
abekun,4,4.166840285011876e-05,14.550686671837498,6,NNP,n,2,"{'j', 'n'}",2,"{'JJ', 'NNP'}",False,abekun,abekun,abekun,1,3.807354922057604,0.2719539230041146
abilities,1,1.041710071252969e-05,16.5506866718375,9,NNS,n,1,{'n'},1,{'NNS'},False,abil,abil,abl,1,3.807354922057604,0.2719539230041146
ability,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,abil,abil,abl,1,3.807354922057604,0.2719539230041146
able,30,0.0003125130213758,11.64379607622898,4,JJ,j,1,{'j'},1,{'JJ'},False,abl,abl,abl,11,0.3479233034203068,0.2733683098302411
aboard,5,5.208550356264844e-05,14.228758576950137,6,IN,x,2,"{'r', 'x'}",2,"{'RB', 'IN'}",False,aboard,aboard,aboard,2,2.807354922057604,0.40105070315108626
abolish,1,1.041710071252969e-05,16.5506866718375,7,VB,v,1,{'v'},1,{'VB'},False,abolish,abolish,abol,1,3.807354922057604,0.2719539230041146
about,212,0.0022084253510562,8.8227662172743,5,IN,x,2,"{'r', 'x'}",2,"{'RB', 'IN'}",True,about,about,about,14,0.0,0.0
above,6,6.250260427517813e-05,13.965724171116342,5,IN,x,1,{'x'},1,{'IN'},True,abov,abov,abov,6,1.222392421336448,0.5238824662870492
abrupt,1,1.041710071252969e-05,16.5506866718375,6,JJ,j,1,{'j'},1,{'JJ'},False,abrupt,abrupt,abrupt,1,3.807354922057604,0.2719539230041146
absence,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,absenc,absenc,abs,2,2.807354922057604,0.40105070315108626
absolutely,5,5.208550356264844e-05,14.228758576950137,10,RB,r,1,{'r'},1,{'RB'},False,absolut,absolut,absolv,4,1.8073549220576042,0.5163871205878868
absorb,2,2.083420142505938e-05,15.550686671837498,6,VB,v,1,{'v'},1,{'VB'},False,absorb,absorb,absorb,2,2.807354922057604,0.40105070315108626
absorbed,3,3.1251302137589066e-05,14.965724171116342,8,VBN,v,1,{'v'},1,{'VBN'},False,absorb,absorb,absorb,2,2.807354922057604,0.40105070315108626
absorbs,1,1.041710071252969e-05,16.5506866718375,7,JJ,j,1,{'j'},1,{'JJ'},False,absorb,absorb,absorb,1,3.807354922057604,0.2719539230041146
absurd,1,1.041710071252969e-05,16.5506866718375,6,JJ,j,1,{'j'},1,{'JJ'},False,absurd,absurd,absurd,1,3.807354922057604,0.2719539230041146
academy,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,academi,academi,academy,2,2.807354922057604,0.40105070315108626
accept,11,0.0001145881078378,13.091255053200202,6,VB,v,1,{'v'},3,"{'VB', 'VBP', 'VBD'}",False,accept,accept,acceiv,7,1.0,0.5
acceptance,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,accept,accept,acceiv,1,3.807354922057604,0.2719539230041146
accepted,2,2.083420142505938e-05,15.550686671837498,8,VBD,v,1,{'v'},2,"{'VBN', 'VBD'}",False,accept,accept,acceiv,2,2.807354922057604,0.40105070315108626
access,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,access,access,access,1,3.807354922057604,0.2719539230041146
accident,5,5.208550356264844e-05,14.228758576950137,8,NN,n,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,accid,accid,accid,2,2.807354922057604,0.40105070315108626
accidents,6,6.250260427517813e-05,13.965724171116342,9,NNS,n,1,{'n'},1,{'NNS'},False,accid,accid,accid,1,3.807354922057604,0.2719539230041146
accommodating,1,1.041710071252969e-05,16.5506866718375,13,VBG,v,1,{'v'},1,{'VBG'},False,accommod,accommod,accommod,1,3.807354922057604,0.2719539230041146
accommodations,1,1.041710071252969e-05,16.5506866718375,14,NNS,n,1,{'n'},1,{'NNS'},False,accommod,accommod,accommod,1,3.807354922057604,0.2719539230041146
accompanied,1,1.041710071252969e-05,16.5506866718375,11,VBN,v,1,{'v'},1,{'VBN'},False,accompani,accompani,accompany,1,3.807354922057604,0.2719539230041146
accomplish,1,1.041710071252969e-05,16.5506866718375,10,VB,v,1,{'v'},1,{'VB'},False,accomplish,accomplish,accompl,1,3.807354922057604,0.2719539230041146
accomplished,1,1.041710071252969e-05,16.5506866718375,12,VBN,v,1,{'v'},1,{'VBN'},False,accomplish,accomplish,accompl,1,3.807354922057604,0.2719539230041146
accord,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,accord,accord,accord,1,3.807354922057604,0.2719539230041146
accordance,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,accord,accord,accord,1,3.807354922057604,0.2719539230041146
according,2,2.083420142505938e-05,15.550686671837498,9,VBG,v,1,{'v'},1,{'VBG'},False,accord,accord,accord,2,2.807354922057604,0.40105070315108626
accumulating,1,1.041710071252969e-05,16.5506866718375,12,VBG,v,1,{'v'},1,{'VBG'},False,accumul,accumul,accum,1,3.807354922057604,0.2719539230041146
accurate,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,accur,accur,acc,1,3.807354922057604,0.2719539230041146
accuse,1,1.041710071252969e-05,16.5506866718375,6,VB,v,1,{'v'},1,{'VB'},False,accus,accus,accus,1,3.807354922057604,0.2719539230041146
ace,2,2.083420142505938e-05,15.550686671837498,3,NN,n,1,{'n'},1,{'NN'},False,ace,ace,ac,2,2.807354922057604,0.40105070315108626
achieve,2,2.083420142505938e-05,15.550686671837498,7,VB,v,1,{'v'},1,{'VB'},False,achiev,achiev,achiev,1,3.807354922057604,0.2719539230041146
achieved,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,achiev,achiev,achiev,1,3.807354922057604,0.2719539230041146
achilles,2,2.083420142505938e-05,15.550686671837498,8,NNP,n,1,{'n'},2,"{'NNP', 'NNS'}",False,achil,achill,achil,1,3.807354922057604,0.2719539230041146
aching,1,1.041710071252969e-05,16.5506866718375,6,VBG,v,1,{'v'},1,{'VBG'},False,ach,ach,ach,1,3.807354922057604,0.2719539230041146
acid,5,5.208550356264844e-05,14.228758576950137,4,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,acid,acid,acid,1,3.807354922057604,0.2719539230041146
acorn,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,acorn,acorn,acorn,1,3.807354922057604,0.2719539230041146
acornmice,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,acornmic,acornmic,acornm,1,3.807354922057604,0.2719539230041146
acorns,2,2.083420142505938e-05,15.550686671837498,6,NNS,n,1,{'n'},1,{'NNS'},False,acorn,acorn,acorn,1,3.807354922057604,0.2719539230041146
across,3,3.1251302137589066e-05,14.965724171116342,6,IN,x,1,{'x'},1,{'IN'},False,across,across,across,2,2.807354922057604,0.40105070315108626
act,9,9.37539064127672e-05,13.380761670395186,3,VB,v,2,"{'n', 'v'}",3,"{'VB', 'NN', 'NNP'}",False,act,act,act,5,1.4854268271702418,0.5305095811322292
acting,10,0.0001041710071252,13.228758576950137,6,VBG,v,3,"{'j', 'n', 'v'}",3,"{'JJ', 'VBG', 'NNP'}",False,act,act,act,6,1.222392421336448,0.5238824662870492
action,8,8.333680570023751e-05,13.550686671837498,6,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,action,action,act,2,2.807354922057604,0.40105070315108626
actions,2,2.083420142505938e-05,15.550686671837498,7,NNS,n,1,{'n'},1,{'NNS'},False,action,action,act,2,2.807354922057604,0.40105070315108626
actress,5,5.208550356264844e-05,14.228758576950137,7,NN,n,1,{'n'},1,{'NN'},False,actress,actress,actress,1,3.807354922057604,0.2719539230041146
actually,13,0.0001354223092628,12.850246953696406,8,RB,r,1,{'r'},1,{'RB'},False,actual,actual,act,4,1.8073549220576042,0.5163871205878868
add,2,2.083420142505938e-05,15.550686671837498,3,VB,v,1,{'v'},1,{'VB'},False,add,add,ad,2,2.807354922057604,0.40105070315108626
added,3,3.1251302137589066e-05,14.965724171116342,5,VBD,v,1,{'v'},1,{'VBD'},False,ad,ad,ad,2,2.807354922057604,0.40105070315108626
addition,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,addit,addit,addit,1,3.807354922057604,0.2719539230041146
address,6,6.250260427517813e-05,13.965724171116342,7,NN,n,2,"{'n', 'v'}",2,"{'VB', 'NN'}",False,address,address,address,3,2.222392421336448,0.4762269474292389
addressed,1,1.041710071252969e-05,16.5506866718375,9,VBN,v,1,{'v'},1,{'VBN'},False,address,address,address,1,3.807354922057604,0.2719539230041146
addresses,1,1.041710071252969e-05,16.5506866718375,9,NNS,n,1,{'n'},1,{'NNS'},False,address,address,address,1,3.807354922057604,0.2719539230041146
adjourned,2,2.083420142505938e-05,15.550686671837498,9,VBD,v,1,{'v'},2,"{'VBN', 'VBD'}",False,adjourn,adjourn,adjourn,1,3.807354922057604,0.2719539230041146
adjustments,1,1.041710071252969e-05,16.5506866718375,11,NNS,n,1,{'n'},1,{'NNS'},False,adjust,adjust,adjust,1,3.807354922057604,0.2719539230041146
admirable,2,2.083420142505938e-05,15.550686671837498,9,JJ,j,1,{'j'},1,{'JJ'},False,admir,admir,admir,2,2.807354922057604,0.40105070315108626
admiration,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,admir,admir,admir,1,3.807354922057604,0.2719539230041146
admired,1,1.041710071252969e-05,16.5506866718375,7,VBD,v,1,{'v'},1,{'VBD'},False,admir,admir,admir,1,3.807354922057604,0.2719539230041146
admit,3,3.1251302137589066e-05,14.965724171116342,5,VB,v,1,{'v'},1,{'VB'},False,admit,admit,admit,1,3.807354922057604,0.2719539230041146
admitted,1,1.041710071252969e-05,16.5506866718375,8,VBD,v,1,{'v'},1,{'VBD'},False,admit,admit,admit,1,3.807354922057604,0.2719539230041146
admonition,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,admonit,admonit,admonit,1,3.807354922057604,0.2719539230041146
ado,2,2.083420142505938e-05,15.550686671837498,3,NN,n,1,{'n'},1,{'NN'},False,ado,ado,ado,2,2.807354922057604,0.40105070315108626
adopt,1,1.041710071252969e-05,16.5506866718375,5,VBP,v,1,{'v'},1,{'VBP'},False,adopt,adopt,adopt,1,3.807354922057604,0.2719539230041146
adopted,2,2.083420142505938e-05,15.550686671837498,7,VBD,v,1,{'v'},1,{'VBD'},False,adopt,adopt,adopt,1,3.807354922057604,0.2719539230041146
adorable,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,ador,ador,ad,1,3.807354922057604,0.2719539230041146
adore,2,2.083420142505938e-05,15.550686671837498,5,RB,r,2,"{'r', 'v'}",2,"{'VBP', 'RB'}",False,ador,ador,ad,2,2.807354922057604,0.40105070315108626
adored,1,1.041710071252969e-05,16.5506866718375,6,VBD,v,1,{'v'},1,{'VBD'},False,ador,ador,ad,1,3.807354922057604,0.2719539230041146
adriano,2,2.083420142505938e-05,15.550686671837498,7,NNP,n,1,{'n'},1,{'NNP'},False,adriano,adriano,adriano,1,3.807354922057604,0.2719539230041146
adriatic,8,8.333680570023751e-05,13.550686671837498,8,NNP,n,1,{'n'},1,{'NNP'},False,adriat,adriat,adry,1,3.807354922057604,0.2719539230041146
adrienne,1,1.041710071252969e-05,16.5506866718375,8,NNP,n,1,{'n'},1,{'NNP'},False,adrienn,adrienn,adrien,1,3.807354922057604,0.2719539230041146
adult,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,adult,adult,adult,2,2.807354922057604,0.40105070315108626
advance,1,1.041710071252969e-05,16.5506866718375,7,VBP,v,1,{'v'},1,{'VBP'},False,advanc,advanc,adv,1,3.807354922057604,0.2719539230041146
advanced,6,6.250260427517813e-05,13.965724171116342,8,JJ,j,1,{'j'},1,{'JJ'},False,advanc,advanc,adv,4,1.8073549220576042,0.5163871205878868
advances,1,1.041710071252969e-05,16.5506866718375,8,NNS,n,1,{'n'},1,{'NNS'},False,advanc,advanc,adv,1,3.807354922057604,0.2719539230041146
advantage,2,2.083420142505938e-05,15.550686671837498,9,NN,n,1,{'n'},1,{'NN'},False,advantag,advantag,adv,2,2.807354922057604,0.40105070315108626
adventure,3,3.1251302137589066e-05,14.965724171116342,9,NN,n,1,{'n'},1,{'NN'},False,adventur,adventur,adv,3,2.222392421336448,0.4762269474292389
advice,5,5.208550356264844e-05,14.228758576950137,6,NN,n,1,{'n'},1,{'NN'},False,advic,advic,adv,2,2.807354922057604,0.40105070315108626
advise,1,1.041710071252969e-05,16.5506866718375,6,VBP,v,1,{'v'},1,{'VBP'},False,advis,advis,adv,1,3.807354922057604,0.2719539230041146
aerial,2,2.083420142505938e-05,15.550686671837498,6,JJ,j,1,{'j'},1,{'JJ'},False,aerial,aerial,aer,2,2.807354922057604,0.40105070315108626
aeronautical,2,2.083420142505938e-05,15.550686671837498,12,JJ,j,1,{'j'},1,{'JJ'},False,aeronaut,aeronaut,aeronaut,1,3.807354922057604,0.2719539230041146
affair,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,affair,affair,affair,1,3.807354922057604,0.2719539230041146
affected,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,affect,affect,affect,1,3.807354922057604,0.2719539230041146
affecting,1,1.041710071252969e-05,16.5506866718375,9,VBG,v,1,{'v'},1,{'VBG'},False,affect,affect,affect,1,3.807354922057604,0.2719539230041146
afflicted,1,1.041710071252969e-05,16.5506866718375,9,VBN,v,1,{'v'},1,{'VBN'},False,afflict,afflict,afflict,1,3.807354922057604,0.2719539230041146
afford,4,4.166840285011876e-05,14.550686671837498,6,VB,v,1,{'v'},1,{'VB'},False,afford,afford,afford,3,2.222392421336448,0.4762269474292389
afraid,34,0.000354181424226,11.46322383058716,6,JJ,j,4,"{'j', 'v', 'x', 'n'}",5,"{'NN', 'IN', 'JJ', 'VBN', 'VBD'}",False,afraid,afraid,afraid,9,0.6374299206152918,0.4097763775384019
afresh,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,afresh,afresh,afresh,1,3.807354922057604,0.2719539230041146
after,78,0.0008125338555773,10.26528445297525,5,IN,x,1,{'x'},1,{'IN'},True,after,after,aft,13,0.10691520391651188,0.09927840363676103
afternoon,3,3.1251302137589066e-05,14.965724171116342,9,NN,n,1,{'n'},1,{'NN'},False,afternoon,afternoon,afternoon,3,2.222392421336448,0.4762269474292389
again,94,0.0009792074669777,9.99609782015986,5,RB,r,1,{'r'},1,{'RB'},True,again,again,again,14,0.0,0.0
against,15,0.0001562565106879,12.64379607622898,7,IN,x,1,{'x'},1,{'IN'},True,against,against,against,7,1.0,0.5
age,18,0.0001875078128255,12.380761670395186,3,NN,n,1,{'n'},1,{'NN'},False,age,age,ag,10,0.48542682717024166,0.34673344797874406
aged,2,2.083420142505938e-05,15.550686671837498,4,VBN,v,1,{'v'},1,{'VBN'},False,age,age,ag,2,2.807354922057604,0.40105070315108626
agent,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,agent,agent,ag,2,2.807354922057604,0.40105070315108626
agents,1,1.041710071252969e-05,16.5506866718375,6,NNS,n,1,{'n'},1,{'NNS'},False,agent,agent,ag,1,3.807354922057604,0.2719539230041146
ages,2,2.083420142505938e-05,15.550686671837498,4,NNS,n,1,{'n'},1,{'NNS'},False,age,age,ag,2,2.807354922057604,0.40105070315108626
agitated,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,agit,agit,agit,1,3.807354922057604,0.2719539230041146
